epoch,loss,step,val_f1,val_loss
0,2.0412354469299316,49,,
0,1.760009527206421,99,,
0,1.4975948333740234,149,,
0,1.2369080781936646,199,,
0,1.7557330131530762,249,,
0,1.331265926361084,299,,
0,1.3146800994873047,349,,
0,1.3760790824890137,399,,
0,1.4370208978652954,449,,
0,1.1835381984710693,499,,
0,,525,0.1468239277601242,1.299972414970398
1,1.4303407669067383,549,,
1,1.1677172183990479,599,,
1,1.1143734455108643,649,,
1,1.2595468759536743,699,,
1,1.4799432754516602,749,,
1,1.2494666576385498,799,,
1,1.5275551080703735,849,,
1,1.0030596256256104,899,,
1,0.9036806225776672,949,,
1,1.6962692737579346,999,,
1,1.1566169261932373,1049,,
1,,1051,0.21214522421360016,1.1435301303863525
2,1.2655415534973145,1099,,
2,0.8473193049430847,1149,,
2,1.052233099937439,1199,,
2,1.1390576362609863,1249,,
2,0.8779400587081909,1299,,
2,1.1574044227600098,1349,,
2,1.2075825929641724,1399,,
2,1.2315356731414795,1449,,
2,0.7844043970108032,1499,,
2,0.9249569177627563,1549,,
2,,1577,0.300607293844223,0.97698575258255
3,1.1498150825500488,1599,,
3,1.0713037252426147,1649,,
3,0.8176655769348145,1699,,
3,0.95659339427948,1749,,
3,0.6179138422012329,1799,,
3,1.0027117729187012,1849,,
3,1.4599026441574097,1899,,
3,0.9860332012176514,1949,,
3,0.8863424062728882,1999,,
3,1.3379480838775635,2049,,
3,1.1755993366241455,2099,,
3,,2103,0.31759873032569885,0.8955028057098389
4,0.7832638025283813,2149,,
4,1.0298573970794678,2199,,
4,0.8673169612884521,2249,,
4,0.9516843557357788,2299,,
4,0.8550819158554077,2349,,
4,0.8755166530609131,2399,,
4,0.6260808110237122,2449,,
4,1.003157377243042,2499,,
4,0.9106225967407227,2549,,
4,0.553009569644928,2599,,
4,,2629,0.3828220069408417,0.8470615744590759
5,0.7331727743148804,2649,,
5,0.8441742658615112,2699,,
5,0.9443174600601196,2749,,
5,0.8234614133834839,2799,,
5,1.320613145828247,2849,,
5,1.3515599966049194,2899,,
5,0.8854014873504639,2949,,
5,0.9438297748565674,2999,,
5,0.9712961912155151,3049,,
5,0.7128499746322632,3099,,
5,1.602163553237915,3149,,
5,,3155,0.479444682598114,0.7656084299087524
6,0.9646081924438477,3199,,
6,1.1763744354248047,3249,,
6,0.9050862789154053,3299,,
6,0.8641328811645508,3349,,
6,1.2068688869476318,3399,,
6,1.7222838401794434,3449,,
6,0.5542426109313965,3499,,
6,0.3302702307701111,3549,,
6,0.7443337440490723,3599,,
6,0.8190109729766846,3649,,
6,,3681,0.48480018973350525,0.7762094140052795
7,0.8326782584190369,3699,,
7,0.7332941293716431,3749,,
7,0.5681591033935547,3799,,
7,0.5292600393295288,3849,,
7,0.6431059837341309,3899,,
7,0.876239538192749,3949,,
7,0.9821678400039673,3999,,
7,0.8737820386886597,4049,,
7,0.8681656122207642,4099,,
7,0.962833046913147,4149,,
7,1.3163154125213623,4199,,
7,,4207,0.5264039039611816,0.7523239254951477
8,0.7844969034194946,4249,,
8,0.8532816171646118,4299,,
8,0.47761958837509155,4349,,
8,0.6258507370948792,4399,,
8,0.6234387159347534,4449,,
8,0.7749775052070618,4499,,
8,0.8200563192367554,4549,,
8,0.9040954113006592,4599,,
8,0.9461060762405396,4649,,
8,0.4588684141635895,4699,,
8,,4733,0.5322568416595459,0.8245211839675903
9,1.0092015266418457,4749,,
9,0.7251109480857849,4799,,
9,0.622173547744751,4849,,
9,0.6486173272132874,4899,,
9,0.5946507453918457,4949,,
9,0.7446197271347046,4999,,
9,1.2151254415512085,5049,,
9,1.2287812232971191,5099,,
9,0.7851921319961548,5149,,
9,0.9133875966072083,5199,,
9,0.7502301931381226,5249,,
9,,5259,0.5465860366821289,0.6709652543067932
